\lambda [nm]	
309.8199768	-0.000299555
310	-0.00028207
310.1799927	-0.000290993
310.3599854	-0.000293618
310.539978	-0.000287974
310.7200012	-0.000299264
310.8999939	-0.000280705
311.0799866	-0.00027993
311.2599792	-0.000276482
311.4400024	-0.000280354
311.6199951	-0.000278658
311.7999878	-0.000277279
311.9799805	-0.000286421
312.1600037	-0.00029194
312.3399963	-0.000288008
312.519989	-0.000295906
312.6999817	-0.000286036
312.8800049	-0.00029514
313.0599976	-0.000299804
313.2399902	-0.000289001
313.4199829	-0.000298262
313.5999756	-0.000290384
313.7799988	-0.000285504
313.9599915	-0.000280841
314.1399841	-0.000290705
314.3199768	-0.00028676
314.5	-0.000286049
314.6799927	-0.000288664
314.8599854	-0.000285848
315.039978	-0.000284594
315.2200012	-0.000283799
315.3999939	-0.000295576
315.5799866	-0.000293651
315.7599792	-0.000293999
315.9400024	-0.000292456
316.1199951	-0.000293711
316.2999878	-0.000294753
316.4799805	-0.000288353
316.6600037	-0.000291945
316.8399963	-0.000297743
317.019989	-0.000293659
317.1999817	-0.000288916
317.3800049	-0.000294214
317.5599976	-0.000292229
317.7399902	-0.000297066
317.9199829	-0.000292725
318.0999756	-0.000285513
318.2799988	-0.000285912
318.4599915	-0.000302764
318.6399841	-0.000282754
318.8199768	-0.000278472
319	-0.000295139
319.1799927	-0.000297345
319.3599854	-0.000288299
319.539978	-0.000276113
319.7200012	-0.000284683
319.8999939	-0.000292995
320.0799866	-0.000294888
320.2599792	-0.000295363
320.4400024	-0.000288732
320.6199951	-0.000281237
320.7999878	-0.000292559
320.9799805	-0.000293596
321.1600037	-0.000289437
321.3399963	-0.000296623
321.519989	-0.00029219
321.6999817	-0.000296148
321.8800049	-0.000287732
322.0599976	-0.000283346
322.2399902	-0.000286059
322.4199829	-0.00029534
322.5999756	-0.00028735
322.7799988	-0.000295607
322.9599915	-0.000301969
323.1399841	-0.000290217
323.3199768	-0.000291141
323.5	-0.000297198
323.6799927	-0.000285298
323.8599854	-0.000286751
324.039978	-0.000290293
324.2200012	-0.00029935
324.3999939	-0.000303848
324.5799866	-0.00028426
324.7599792	-0.000285726
324.9400024	-0.000281408
325.1199951	-0.000296932
325.2999878	-0.000284729
325.4799805	-0.000289916
325.6600037	-0.000288455
325.8399963	-0.000296598
326.019989	-0.000279681
326.1999817	-0.000289116
326.3800049	-0.000299659
326.5599976	-0.000290477
326.7399902	-0.000291626
326.9199829	-0.000283526
327.0999756	-0.000292795
327.2799988	-0.000303791
327.4599915	-0.000288095
327.6399841	-0.000296107
327.8199768	-0.000296974
328	-0.000286526
328.1799927	-0.000294432
328.3599854	-0.000291628
328.539978	-0.00028079
328.7200012	-0.000285337
328.8999939	-0.000280871
329.0799866	-0.000297065
329.2599792	-0.00029015
329.4400024	-0.000286016
329.6199951	-0.000297111
329.7999878	-0.000289603
329.9799805	-0.000290397
330.1600037	-0.00030504
330.3399963	-0.000309058
330.519989	-0.000300028
330.6999817	-0.000296383
330.8800049	-0.000298871
331.0599976	-0.000291576
331.2399902	-0.000288365
331.4199829	-0.000284528
331.5999756	-0.000303939
331.7799988	-0.000293456
331.9599915	-0.000294764
332.1399841	-0.000291654
332.3199768	-0.000278678
332.5	-0.000287495
332.6799927	-0.000294701
332.8599854	-0.000287791
333.039978	-0.000289882
333.2200012	-0.000293397
333.3999939	-0.000279416
333.5799866	-0.000293441
333.7599792	-0.000293755
333.9400024	-0.000296593
334.1199951	-0.000290876
334.2999878	-0.000297327
334.4799805	-0.000288005
334.6600037	-0.00029662
334.8399963	-0.000296356
335.019989	-0.000297604
335.1999817	-0.000294139
335.3800049	-0.000289141
335.5599976	-0.000282921
335.7399902	-0.000295881
335.9199829	-0.000297287
336.0999756	-0.0002862
336.2799988	-0.000290786
336.4599915	-0.000283435
336.6399841	-0.000290313
336.8199768	-0.000294238
337	-0.000293771
337.1799927	-0.000297262
337.3599854	-0.000303642
337.539978	-0.000286628
337.7200012	-0.000293009
337.8999939	-0.000290951
338.0799866	-0.000290551
338.2599792	-0.000290564
338.4400024	-0.000291926
338.6199951	-0.000284337
338.7999878	-0.000287599
338.9799805	-0.000292127
339.1600037	-0.000290936
339.3399963	-0.000291082
339.519989	-0.000282327
339.6999817	-0.000285319
339.8800049	-0.000288381
340.0599976	-0.000291515
340.2399902	-0.000285186
340.4199829	-0.000281123
340.5999756	-0.000297147
340.7799988	-0.000296577
340.9599915	-0.000304361
341.1399841	-0.000289173
341.3199768	-0.000286709
341.5	-0.000286078
341.6799927	-0.000301855
341.8599854	-0.000297905
342.039978	-0.000286339
342.2200012	-0.000290408
342.3999939	-0.000278011
342.5799866	-0.000285503
342.7599792	-0.000288881
342.9400024	-0.000294964
343.1199951	-0.000291169
343.2999878	-0.000291785
343.4799805	-0.000292777
343.6600037	-0.000282939
343.8399963	-0.000293833
344.019989	-0.000290659
344.1999817	-0.000287097
344.3800049	-0.000293398
344.5599976	-0.000280731
344.7399902	-0.000291616
344.9199829	-0.000287473
345.1000061	-0.000289738
345.2799988	-0.000290477
345.4599915	-0.000282263
345.6399841	-0.000289093
345.8199768	-0.00029012
346	-0.000291363
346.1799927	-0.000295559
346.3599854	-0.000286668
346.539978	-0.000289598
346.7200012	-0.000287818
346.8999939	-0.000285348
347.0799866	-0.000289514
347.2599792	-0.000290692
347.4400024	-0.000280713
347.6199951	-0.000287176
347.7999878	-0.000281273
347.9799805	-0.000300429
348.1600037	-0.00028404
348.3399963	-0.000294635
348.519989	-0.000290739
348.6999817	-0.000282539
348.8800049	-0.00028285
349.0599976	-0.000282874
349.2399902	-0.000300482
349.4199829	-0.000286432
349.6000061	-0.00029741
349.7799988	-0.000279105
349.9599915	-0.000284122
350.1399841	-0.000291233
350.3199768	-0.000281886
350.5	-0.000289056
350.6799927	-0.000287306
350.8599854	-0.000284485
351.039978	-0.000283389
351.2200012	-0.000290249
351.3999939	-0.000280481
351.5799866	-0.000276673
351.7599792	-0.000284587
351.9400024	-0.000289861
352.1199951	-0.000286564
352.2999878	-0.000299948
352.4799805	-0.000299796
352.6600037	-0.000287978
352.8399963	-0.000274455
353.019989	-0.000295395
