\lambda [nm]	
306.9400024	0.004406341
307.1199951	0.005760173
307.2999878	0.00529078
307.4799805	0.003239788
307.6600037	0.001337477
307.8399963	0.000383831
308.019989	0.000174682
308.1999817	0.000106625
308.3799744	7.55421E-05
308.5599976	6.37387E-05
308.7399902	4.10503E-05
308.9199829	4.3515E-05
309.0999756	5.42609E-05
309.2799988	6.0254E-05
309.4599915	6.51894E-05
309.6399841	0.000113652
309.8199768	0.000165215
310	0.000281026
310.1799927	0.000677671
310.3599854	0.002233424
310.539978	0.008213211
310.7200012	0.017872384
310.8999939	0.025098112
311.0799866	0.02350491
311.2599792	0.016181175
311.4400024	0.00913598
311.6199951	0.006399971
311.7999878	0.005724466
311.9799805	0.004822421
312.1600037	0.003428857
312.3399963	0.00212179
312.519989	0.001171605
312.6999817	0.000663731
312.8800049	0.000431845
313.0599976	0.000304687
313.2399902	0.000225503
313.4199829	0.000190015
313.5999756	0.000173018
313.7799988	0.00016601
313.9599915	0.000164951
314.1399841	0.000188466
314.3199768	0.00021865
314.5	0.00027324
314.6799927	0.000366395
314.8599854	0.000491894
315.039978	0.000747185
315.2200012	0.001190083
315.3999939	0.002640574
315.5799866	0.008807594
315.7599792	0.033960693
315.9400024	0.082327566
316.1199951	0.123898315
316.2999878	0.122942638
316.4799805	0.07837172
316.6600037	0.034962609
316.8399963	0.013535596
317.019989	0.009603487
317.1999817	0.008703794
317.3800049	0.009183912
317.5599976	0.010716751
317.7399902	0.013524543
317.9199829	0.018345766
318.0999756	0.02710968
318.2799988	0.042031565
318.4599915	0.068160362
318.6399841	0.108860378
318.8199768	0.160864735
319	0.212790508
319.1799927	0.257833214
319.3599854	0.286898499
319.539978	0.30256546
319.7200012	0.319107056
319.8999939	0.346100311
320.0799866	0.388128471
320.2599792	0.454307632
320.4400024	0.538819504
320.6199951	0.634489403
320.7999878	0.732574234
320.9799805	0.810667801
321.1600037	0.863951721
321.3399963	0.895723877
321.519989	0.91152504
321.6999817	0.915576782
321.8800049	0.918459091
322.0599976	0.921007538
322.2399902	0.924722519
322.4199829	0.931902771
