\lambda [nm]	
362.019989	-0.000291982
362.1999817	-0.000293485
362.3800049	-0.000282582
362.5599976	-0.000291267
362.7399902	-0.000293651
362.9199829	-0.000290247
363.1000061	-0.000282598
363.2799988	-0.000289997
363.4599915	-0.000287076
363.6399841	-0.000284005
363.8199768	-0.000294943
364	-0.000295003
364.1799927	-0.000280085
364.3599854	-0.000282497
364.539978	-0.000286829
364.7200012	-0.000291906
364.8999939	-0.000291121
365.0799866	-0.000293346
365.2599792	-0.000281343
365.4400024	-0.00028447
365.6199951	-0.000291135
365.7999878	-0.000285105
365.9799805	-0.000284265
366.1600037	-0.000289888
366.3399963	-0.000292803
366.519989	-0.000292559
366.6999817	-0.000290789
366.8800049	-0.000279808
367.0599976	-0.000285564
367.2399902	-0.000295058
367.4199829	-0.000288954
367.6000061	-0.00028752
367.7799988	-0.000288771
367.9599915	-0.000289062
368.1399841	-0.000291419
368.3199768	-0.000283945
368.5	-0.000283769
368.6799927	-0.000293666
368.8599854	-0.000292675
369.039978	-0.000296075
369.2200012	-0.000289009
369.3999939	-0.00029426
369.5799866	-0.000289358
369.7599792	-0.000287783
369.9400024	-0.000283397
370.1199951	-0.000297381
370.2999878	-0.000287204
370.4799805	-0.000292061
370.6600037	-0.000283017
370.8399963	-0.000288808
371.019989	-0.000288616
371.1999817	-0.000281662
371.3800049	-0.000293087
371.5599976	-0.000292509
371.7399902	-0.000286333
371.9199829	-0.000293311
372.1000061	-0.000294345
372.2799988	-0.000290481
372.4599915	-0.000301319
372.6399841	-0.000297089
372.8199768	-0.000290516
373	-0.000281891
373.1799927	-0.000294586
373.3599854	-0.000285755
373.539978	-0.000288044
373.7200012	-0.000289196
373.8999939	-0.000290493
374.0799866	-0.000294126
374.2599792	-0.000288896
374.4400024	-0.000290649
374.6199951	-0.000289463
374.7999878	-0.000284067
374.9799805	-0.000286579
375.1600037	-0.00028879
375.3399963	-0.000276503
375.519989	-0.000264499
375.6999817	-0.000233404
375.8800049	-0.000188005
376.0599976	-0.000175959
376.2399902	-0.000195341
376.4199829	-0.000242521
376.6000061	-0.000276533
376.7799988	-0.00028317
376.9599915	-0.000289482
377.1399841	-0.000297638
377.3200073	-0.000293335
