\lambda [nm]	
359.3199768	-0.000285356
359.5	-0.000284198
359.6799927	-0.000291454
359.8599854	-0.000288492
360.039978	-0.000283352
360.2200012	-0.000290546
360.3999939	-0.000286177
360.5799866	-0.000284984
360.7599792	-0.00027698
360.9400024	-0.000288837
361.1199951	-0.0002912
361.2999878	-0.000282669
361.4799805	-0.000288053
361.6600037	-0.000295049
361.8399963	-0.000292394
362.019989	-0.000289688
362.1999817	-0.000292201
362.3800049	-0.000280827
362.5599976	-0.000293217
362.7399902	-0.00029326
362.9199829	-0.000289317
363.1000061	-0.000280474
363.2799988	-0.000288596
363.4599915	-0.000291085
363.6399841	-0.000285644
363.8199768	-0.000295786
364	-0.000294645
364.1799927	-0.000280521
364.3599854	-0.000281117
364.539978	-0.000288134
364.7200012	-0.000293133
364.8999939	-0.000292901
365.0799866	-0.000291494
365.2599792	-0.000282369
365.4400024	-0.000287081
365.6199951	-0.000293986
365.7999878	-0.000282913
365.9799805	-0.000281642
366.1600037	-0.000287927
366.3399963	-0.000290467
366.519989	-0.000293241
366.6999817	-0.000292818
366.8800049	-0.000279746
367.0599976	-0.00028441
367.2399902	-0.000294421
367.4199829	-0.000292195
367.6000061	-0.000287224
367.7799988	-0.000288712
367.9599915	-0.00028915
368.1399841	-0.000285551
368.3199768	-0.000282577
368.5	-0.000283316
368.6799927	-0.000293764
368.8599854	-0.0002924
369.039978	-0.000297879
369.2200012	-0.000287128
369.3999939	-0.000294742
369.5799866	-0.000287389
369.7599792	-0.000285484
369.9400024	-0.000283983
370.1199951	-0.00029642
370.2999878	-0.000287805
370.4799805	-0.000292415
370.6600037	-0.000285731
370.8399963	-0.000285822
371.019989	-0.000287452
371.1999817	-0.000278921
371.3800049	-0.000292578
371.5599976	-0.000292663
371.7399902	-0.000287664
371.9199829	-0.000290473
372.1000061	-0.000292988
372.2799988	-0.000291151
372.4599915	-0.0003006
372.6399841	-0.000294268
372.8199768	-0.000289309
373	-0.00028072
373.1799927	-0.000294393
373.3599854	-0.00028624
373.539978	-0.000286221
373.7200012	-0.000287947
373.8999939	-0.000287693
374.0799866	-0.000287054
374.2599792	-0.000277409
374.4400024	-0.000271352
374.6199951	-0.000248651
374.7999878	-0.000217902
374.9799805	-0.000213303
375.1600037	-0.000225428
375.3399963	-0.000240798
375.519989	-0.000260455
375.6999817	-0.000273967
375.8800049	-0.000276461
376.0599976	-0.000279576
376.2399902	-0.000272172
376.4199829	-0.000270214
376.6000061	-0.000258725
376.7799988	-0.000225929
376.9599915	-0.000184616
377.1399841	-0.000129167
377.3200073	-8.46762E-05
377.5	-0.000102745
377.6799927	-0.000165503
377.8599854	-0.000227433
378.039978	-0.00025555
378.2200012	-0.000268179
378.3999939	-0.000274333
378.5799866	-0.00027928
378.7599792	-0.000291409
378.9400024	-0.00028647
379.1199951	-0.000280532
379.2999878	-0.00027962
379.4799805	-0.000283778
379.6600037	-0.000286056
379.8399963	-0.000298491
380.019989	-0.000280062
380.1999817	-0.000285174
380.3800049	-0.000278001
380.5599976	-0.000281295
380.7399902	-0.000271406
380.9199829	-0.000275094
381.1000061	-0.000277299
381.2799988	-0.000270992
381.4599915	-0.000269585
381.6399841	-0.000269998
381.8200073	-0.00026477
382	-0.000258547
382.1799927	-0.00024985
382.3599854	-0.000244718
382.539978	-0.000236055
382.7200012	-0.000225975
382.8999939	-0.000210057
383.0799866	-0.000221143
383.2599792	-0.000212389
383.4400024	-0.000205635
383.6199951	-0.00022165
383.7999878	-0.000230508
383.9799805	-0.000236478
384.1600037	-0.000243464
384.3399963	-0.000255175
384.519989	-0.000262216
384.6999817	-0.0002703
384.8800049	-0.000273725
385.0599976	-0.000273655
385.2399902	-0.000267183
385.4199829	-0.000266776
